iter	Passed	Remaining
0	46	46783
1	79	39457
2	109	36430
3	145	36288
4	181	36100
5	226	37524
6	269	38225
7	307	38160
8	372	40962
9	422	41797
10	477	42957
11	517	42643
12	560	42519
13	604	42575
14	647	42529
15	687	42310
16	732	42344
17	775	42311
18	817	42184
19	855	41933
20	899	41937
21	938	41734
22	978	41556
23	1014	41250
24	1060	41374
25	1101	41278
26	1168	42095
27	1244	43200
28	1293	43322
29	1331	43062
30	1363	42625
31	1402	42415
32	1438	42152
33	1470	41777
34	1499	41333
35	1526	40869
36	1554	40467
37	1585	40127
38	1618	39890
39	1657	39784
40	1703	39839
41	1748	39893
42	1795	39961
43	1827	39716
44	1861	39506
45	1904	39505
46	1945	39454
47	1989	39465
48	2033	39458
49	2067	39281
50	2094	38969
51	2125	38754
52	2178	38931
53	2230	39075
54	2282	39222
55	2323	39164
56	2358	39023
57	2394	38886
58	2444	38986
59	2481	38869
60	2536	39044
61	2592	39223
62	2640	39274
63	2674	39112
64	2708	38960
65	2745	38858
66	2782	38745
67	2811	38532
68	2861	38615
69	2909	38653
70	2954	38657
71	2992	38569
72	3022	38375
73	3054	38225
74	3088	38097
75	3128	38038
76	3179	38117
77	3238	38279
78	3307	38554
79	3344	38461
80	3385	38413
81	3430	38409
82	3496	38631
83	3536	38566
84	3591	38656
85	3650	38799
86	3705	38885
87	3749	38859
88	3792	38819
89	3845	38883
90	3904	39004
91	3967	39154
92	4018	39191
93	4058	39113
94	4122	39272
95	4175	39322
96	4220	39292
97	4253	39153
98	4284	38994
99	4319	38873
100	4353	38753
101	4390	38650
102	4434	38617
103	4502	38787
104	4545	38743
105	4573	38574
106	4610	38479
107	4649	38404
108	4687	38318
109	4718	38177
110	4762	38142
111	4808	38126
112	4856	38119
113	4895	38044
114	4928	37931
115	4963	37825
116	4997	37719
117	5030	37597
118	5062	37483
119	5113	37502
120	5158	37477
121	5206	37468
122	5244	37396
123	5282	37318
124	5321	37249
125	5357	37163
126	5393	37073
127	5428	36984
128	5463	36887
129	5506	36848
130	5583	37035
131	5629	37016
132	5666	36941
133	5700	36837
134	5733	36734
135	5766	36636
136	5798	36525
137	5831	36426
138	5870	36361
139	5915	36337
140	5969	36365
141	6041	36506
142	6099	36553
143	6148	36551
144	6221	36687
145	6293	36810
146	6358	36895
147	6409	36899
148	6463	36915
149	6513	36907
150	6595	37080
151	6651	37108
152	6709	37141
153	6773	37211
154	6811	37131
155	6849	37057
156	6887	36979
157	6925	36906
158	6964	36836
159	7003	36766
160	7037	36674
161	7069	36566
162	7099	36456
163	7131	36352
164	7160	36234
165	7192	36135
166	7223	36032
167	7263	35970
168	7302	35908
169	7334	35809
170	7373	35748
171	7405	35647
172	7438	35557
173	7470	35464
174	7503	35373
175	7536	35282
176	7568	35192
177	7621	35194
178	7652	35096
179	7684	35006
180	7719	34927
181	7753	34848
182	7786	34764
183	7818	34673
184	7849	34580
185	7887	34519
186	7920	34433
187	7948	34332
188	7982	34250
189	8017	34181
190	8051	34101
191	8083	34016
192	8119	33949
193	8153	33875
194	8187	33801
195	8226	33745
196	8265	33692
197	8300	33620
198	8334	33545
199	8371	33484
200	8405	33413
201	8439	33338
202	8473	33268
203	8504	33184
204	8535	33101
205	8566	33020
206	8600	32946
207	8653	32948
208	8686	32877
209	8722	32813
210	8755	32740
211	8790	32674
212	8838	32655
213	8887	32644
214	8939	32638
215	8981	32597
216	9023	32559
217	9063	32512
218	9103	32463
219	9142	32414
220	9183	32371
221	9222	32320
222	9264	32281
223	9306	32239
224	9347	32197
225	9389	32158
226	9429	32111
227	9469	32061
228	9507	32011
229	9543	31950
230	9583	31904
231	9626	31867
232	9692	31905
233	9725	31836
234	9754	31752
235	9782	31670
236	9807	31573
237	9836	31494
238	9868	31422
239	9903	31360
240	9935	31291
241	9966	31216
242	9996	31142
243	10026	31064
244	10057	30994
245	10090	30928
246	10120	30853
247	10152	30784
248	10185	30720
249	10219	30658
250	10252	30594
251	10284	30525
252	10314	30453
253	10348	30393
254	10382	30334
255	10422	30289
256	10456	30229
257	10490	30169
258	10524	30111
259	10551	30031
260	10580	29959
261	10609	29885
262	10642	29823
263	10675	29760
264	10730	29760
265	10767	29710
266	10798	29644
267	10829	29577
268	10862	29518
269	10892	29449
270	10925	29390
271	10949	29306
272	10972	29218
273	10992	29126
274	11011	29031
275	11033	28942
276	11052	28847
277	11074	28761
278	11095	28673
279	11115	28582
280	11136	28494
281	11159	28412
282	11192	28356
283	11231	28315
284	11281	28302
285	11345	28323
286	11414	28357
287	11461	28334
288	11500	28293
289	11527	28222
290	11559	28164
291	11591	28104
292	11623	28047
293	11658	27995
294	11692	27943
295	11761	27973
296	11803	27938
297	11844	27901
298	11884	27862
299	11922	27818
300	11961	27777
301	12002	27739
302	12042	27700
303	12081	27660
304	12118	27615
305	12162	27584
306	12199	27538
307	12241	27504
308	12300	27507
309	12342	27471
310	12385	27440
311	12456	27467
312	12507	27453
313	12552	27423
314	12591	27381
315	12625	27328
316	12667	27293
317	12706	27251
318	12740	27199
319	12781	27161
320	12823	27125
321	12858	27074
322	12890	27017
323	12918	26953
324	12951	26899
325	12992	26861
326	13031	26820
327	13066	26769
328	13099	26716
329	13132	26662
330	13167	26612
331	13203	26565
332	13237	26515
333	13266	26454
334	13297	26397
335	13329	26340
336	13358	26280
337	13390	26226
338	13421	26170
339	13456	26121
340	13487	26064
341	13518	26009
342	13552	25958
343	13585	25907
344	13622	25863
345	13656	25812
346	13687	25757
347	13721	25708
348	13755	25658
349	13788	25607
350	13839	25589
351	13869	25532
352	13902	25482
353	13939	25438
354	13977	25396
355	14009	25342
356	14043	25294
357	14077	25244
358	14112	25198
359	14144	25145
360	14173	25087
361	14208	25041
362	14242	24992
363	14268	24931
364	14296	24871
365	14324	24812
366	14367	24780
367	14402	24734
368	14433	24681
369	14466	24631
370	14500	24584
371	14547	24558
372	14596	24536
373	14657	24533
374	14703	24505
375	14745	24470
376	14792	24444
377	14826	24396
378	14893	24403
379	14928	24356
380	14965	24313
381	15002	24270
382	15035	24221
383	15078	24187
384	15120	24153
385	15160	24115
386	15206	24087
387	15246	24048
388	15278	23998
389	15310	23947
390	15342	23896
391	15378	23852
392	15415	23809
393	15449	23761
394	15481	23712
395	15510	23657
396	15544	23610
397	15578	23563
398	15611	23515
399	15649	23474
400	15687	23433
401	15721	23386
402	15755	23339
403	15787	23289
404	15812	23231
405	15838	23173
406	15867	23118
407	15907	23081
408	15943	23037
409	15975	22989
410	16012	22947
411	16045	22899
412	16065	22834
413	16089	22773
414	16114	22715
415	16140	22659
416	16170	22607
417	16194	22548
418	16215	22484
419	16241	22429
420	16264	22368
421	16287	22308
422	16309	22246
423	16337	22194
424	16356	22128
425	16382	22073
426	16408	22019
427	16435	21965
428	16464	21913
429	16493	21863
430	16517	21806
431	16543	21751
432	16568	21695
433	16591	21637
434	16618	21585
435	16647	21535
436	16676	21485
437	16705	21434
438	16735	21386
439	16766	21339
440	16796	21290
441	16824	21239
